fighter_id,fighter_name,fighter_nationality,fighter_club_id,fighter_club_name,fighter_url
44,Alex Rymark Vorm,Denmark,1470,Hafnia Longsword Akademi,/fighters/details/44/
8407,Alex Schexnayder,United States,1067,Dallas Renaissance Sword Guild,/fighters/details/8407/
1780,Alex Selth,Australia,202,Stoccata School of Defence,/fighters/details/1780/
7732,Alex Shekelton,NA,NA,NA,/fighters/details/7732/
13531,Alex Sinclair,United States,1540,Santa Barbara Sword Club,/fighters/details/13531/
10598,Alex Stripling,United States,1279,St. Louis Broadsword Academy,/fighters/details/10598/
12639,Alex Svitashev,Canada,1453,Toronto Historical Combatants,/fighters/details/12639/
5493,Alex Swart,United States,108,Sword to Sword,/fighters/details/5493/
3453,Alex Tawns,United Kingdom,31,The Institute for Historical Arts,/fighters/details/3453/
7271,Alex Timmerman,United States,360,Ochs America,/fighters/details/7271/
15141,Alex Weaver,United States,1653,Alaska Fechtschule,/fighters/details/15141/
9250,Alex Williamson,Canada,1557,Bighorn Historical Combat,/fighters/details/9250/
11953,Alex Wilson,Australia,1015,Ursa Major HEMA Academy,/fighters/details/11953/
12580,Alex Wray,United Kingdom,1193,Order of the Blade,/fighters/details/12580/
3618,Alex Yang,Canada,152,Blood and Iron Martial Arts,/fighters/details/3618/
11846,Alex Young,United Kingdom,423,The Irish School of Historical Combat,/fighters/details/11846/
7537,Alex Zauner,Germany,NA,NA,/fighters/details/7537/
12831,Alexa LaCroix,Canada,1149,Calgary Fellowship of the Sword,/fighters/details/12831/
7276,Alexander Anderson,United States,642,Cymbrogi School of Western Martial Arts,/fighters/details/7276/
10752,Alexander Bagdasarian,United States,899,Diamond Rose Academie D'Armes,/fighters/details/10752/
