event_id,event_url,event_brand,event_year,event_country,event_date,participants,foreign_participants,new,returning,churn
1640,/events/details/1640/,Podzimove Mecoklani,2021,Czech Republic,2021-11-20,37,5,37,0,NA
1755,/events/details/1755/,Podzimove Mecoklani,2022,Czech Republic,2022-10-09,49,3,31,18,0.63
1317,/events/details/1317/,Points North,2018,Canada,2018-08-04,39,1,39,0,NA
1507,/events/details/1507/,Points North,2019,Canada,2019-08-03,32,2,14,18,0.44
2083,/events/details/2083/,Prague Cup,2024,Czech Republic,2024-04-13,36,17,36,0,NA
1704,/events/details/1704/,Prazsky Argument,2022,Czech Republic,2022-04-30,56,9,56,0,NA
1791,/events/details/1791/,Prazsky Argument,2023,Czech Republic,2023-04-15,67,18,38,29,0.57
2107,/events/details/2107/,Prazsky Argument,2024,Czech Republic,2024-06-29,55,22,31,24,0.56
1249,/events/details/1249/,Prima Spada Hema Rapier Tournament,2018,Australia,2018-03-25,39,0,39,0,NA
1433,/events/details/1433/,Prima Spada Hema Rapier Tournament,2019,Australia,2019-03-24,34,0,12,22,0.35
1350,/events/details/1350/,Prima Spada Hema Sabre Tournament,2018,Australia,2018-10-21,18,0,18,0,NA
1489,/events/details/1489/,Primavera ,2019,Russia,2019-05-25,15,0,15,0,NA
1359,/events/details/1359/,Primer Torneo De Esgrima Historica De Santurtzi,2018,Spain,2018-11-04,25,0,25,0,NA
2144,/events/details/2144/,Proletariat Poke,2024,United States,2024-08-31,11,0,11,0,NA
2028,/events/details/2028/,Pumpkin Slice,2023,Canada,2023-10-29,16,0,16,0,NA
10,/events/details/10/,Purpleheart Armory Open,2016,United States,2016-03-18,70,5,70,0,NA
165,/events/details/165/,Purpleheart Open,2017,United States,2017-03-17,25,0,25,0,NA
1257,/events/details/1257/,Purpleheart Open,2018,United States,2018-04-08,96,11,80,16,0.83
1544,/events/details/1544/,Purpleheart Open,2019,United States,2019-08-23,54,3,42,12,0.78
1679,/events/details/1679/,Purpleheart Open,2022,United States,2022-02-25,62,1,49,13,0.79
172,/events/details/172/,Quadrohemia,2017,United Kingdom,2017-10-22,10,0,10,0,NA
1310,/events/details/1310/,Quadrohemia,2018,United Kingdom,2018-07-22,7,0,4,3,0.57
1230,/events/details/1230/,Quadrohemia 4.,2018,United Kingdom,2018-02-18,9,0,9,0,NA
1664,/events/details/1664/,Quadrohemia 6.5: Prelude To The Call Invitational,2021,United Kingdom,2021-10-10,12,0,12,0,NA
1499,/events/details/1499/,Quadrohemia 6: Wolfshead ,2019,United Kingdom,2019-07-21,15,0,15,0,NA
2052,/events/details/2052/,Qualificazioni Asc Nord,2023,Italy,2023-02-25,132,2,132,0,NA
2054,/events/details/2054/,Qualificazioni Asc Sud,2023,Italy,2023-04-22,63,0,63,0,NA
2058,/events/details/2058/,Qualificazioni Asc Sud,2024,Italy,2024-01-27,69,1,50,19,0.72
1605,/events/details/1605/,Qualificazioni Nord,2020,Italy,2020-02-01,98,0,98,0,NA
2154,/events/details/2154/,Queen Of The Hill,2024,Bulgaria,2024-09-07,9,3,9,0,NA
2125,/events/details/2125/,Queen's Court,2024,United States,2024-07-27,45,0,45,0,NA
1482,/events/details/1482/,Queen's Court Open,2019,United States,2019-06-22,19,1,19,0,NA
1770,/events/details/1770/,Queen's Court Open,2022,United States,2022-06-18,36,1,26,10,0.72
95,/events/details/95/,Queen's Gambit,2017,United States,2017-03-11,54,1,54,0,NA
1241,/events/details/1241/,Queen's Gambit,2018,United States,2018-02-09,73,0,38,35,0.52
1404,/events/details/1404/,Queen's Gambit,2019,United States,2019-01-18,46,1,17,29,0.37
1729,/events/details/1729/,Queen's Gambit,2022,United States,2022-07-15,78,0,69,9,0.88
2141,/events/details/2141/,Queen's Gambit,2024,United States,2024-07-19,114,3,93,21,0.82
2000,/events/details/2000/,Queens Court,2023,United States,2023-07-14,53,1,53,0,NA
1886,/events/details/1886/,Queens Gambit,2023,United States,2023-07-14,89,0,89,0,NA
1233,/events/details/1233/,Ram Point,2018,United States,2018-02-17,56,3,56,0,NA
2048,/events/details/2048/,Rapier Comp,2024,Australia,2024-04-30,18,0,18,0,NA
2037,/events/details/2037/,Rare ,2024,Hungary,2024-04-27,38,10,38,0,NA
113,/events/details/113/,Rd Annual Tosetti Institute Hema Tournament,2017,United States,2017-03-04,41,2,41,0,NA
1687,/events/details/1687/,"Rebel Fencing League: Rapier And Dagger Edition, Wroclaw",2022,Poland,2022-01-29,15,0,15,0,NA
136,/events/details/136/,Red Dragon Tourney,2017,United Kingdom,2017-06-24,24,0,24,0,NA
1467,/events/details/1467/,Renaissance Festival Of Nebraska Invitational,2019,United States,2019-05-11,12,0,12,0,NA
1842,/events/details/1842/,Revolution Rumble,2023,United States,2023-07-01,100,1,100,0,NA
2117,/events/details/2117/,Revolution Rumble,2024,United States,2024-07-06,99,2,63,36,0.64
1945,/events/details/1945/,Rise Of The Goose,2023,Canada,2023-11-18,20,0,20,0,NA
56,/events/details/56/,Rocky Mountain Krieg,2016,United States,2016-04-22,31,1,31,0,NA
147,/events/details/147/,Rocky Mountain Krieg,2017,United States,2017-05-13,37,1,19,18,0.51
49,/events/details/49/,Rose City Classic,2016,United States,2016-11-05,55,27,55,0,NA
184,/events/details/184/,Rose City Classic:,2017,United States,2017-11-11,60,15,60,0,NA
1680,/events/details/1680/,Rotyci Spar,2022,Czech Republic,2022-02-27,38,9,38,0,NA
1783,/events/details/1783/,Rotyci Spar,2023,Czech Republic,2023-02-11,54,5,35,19,0.65
1997,/events/details/1997/,Rotyci Spar,2024,Czech Republic,2024-02-10,60,15,34,26,0.57
2013,/events/details/2013/,S.t.a.b.,2024,United States,2024-03-09,29,0,29,0,NA
1727,/events/details/1727/,Sa Hema Triathlon,2022,Australia,2022-06-11,38,0,38,0,NA
1835,/events/details/1835/,Saarlandische Fechtschul,2023,Germany,2023-06-18,7,0,7,0,NA
2079,/events/details/2079/,Saarlandische Fechtschule,2024,Germany,2024-06-02,15,2,15,0,NA
1763,/events/details/1763/,Salt Lake Open,2022,United States,2022-10-14,76,1,76,0,NA
1985,/events/details/1985/,Salt Lake Open,2023,United States,2023-10-13,76,7,41,35,0.54
1189,/events/details/1189/,Salzburger Landesmeisterschaft,2017,Austria,2017-10-28,29,12,29,0,NA
1352,/events/details/1352/,Salzburger Landesmeisterschaft,2018,Austria,2018-10-20,35,10,19,16,0.54
1575,/events/details/1575/,Salzburger Landesmeisterschaft,2019,Austria,2019-10-26,27,6,8,19,0.3
1745,/events/details/1745/,Salzburger Landesmeisterschaft,2021,Austria,2021-10-30,46,19,33,13,0.72
175,/events/details/175/,Sandstorm,2017,United States,2017-09-23,40,1,40,0,NA
1851,/events/details/1851/,Satem,2023,Czech Republic,2023-06-17,34,0,34,0,NA
98,/events/details/98/,Savannah Historic Longsword Open,2017,United States,2017-04-01,22,0,22,0,NA
100,/events/details/100/,Scania Open,2017,Sweden,2017-04-08,53,26,53,0,NA
167,/events/details/167/,Scherma Medievale Nella Citta Ideale,2017,Italy,2017-04-29,68,1,68,0,NA
1269,/events/details/1269/,Scherma Medievale Nella Citta Ideale,2018,Italy,2018-04-28,88,1,57,31,0.65
1445,/events/details/1445/,Scherma Medievale Nella Citta Ideale,2019,Italy,2019-04-13,72,1,38,34,0.53
1712,/events/details/1712/,Scherma Medievale Nella Citta Ideale,2022,Italy,2022-05-07,93,0,73,20,0.78
1684,/events/details/1684/,Schnegel Fechten,2022,United States,2022-03-12,35,0,35,0,NA
1808,/events/details/1808/,Schnegel Fechten,2023,United States,2023-03-18,49,0,33,16,0.67
1262,/events/details/1262/,Schwertkampf,2018,Mexico,2018-03-29,15,4,15,0,NA
1572,/events/details/1572/,Segundo Torneo De Esgrima Historica De Santurtzi,2019,Spain,2019-12-01,22,0,22,0,NA
1491,/events/details/1491/,Sense And Sensibility With Smallswords,2019,Sweden,2019-03-03,9,0,9,0,NA
64,/events/details/64/,Serfo,2016,United States,2016-11-11,61,1,61,0,NA
1185,/events/details/1185/,Serfo,2017,United States,2017-11-10,80,1,49,31,0.61
1376,/events/details/1376/,Serfo,2018,United States,2018-11-09,100,2,53,47,0.53
1591,/events/details/1591/,Serfo,2019,United States,2019-11-10,100,2,45,55,0.45
1719,/events/details/1719/,Serfo,2022,United States,2022-06-10,117,2,79,38,0.68
1861,/events/details/1861/,Serfo,2023,United States,2023-06-09,158,3,96,62,0.61
2098,/events/details/2098/,Serfo,2024,United States,2024-06-07,152,2,70,82,0.46
2150,/events/details/2150/,Sharp Plum,2024,Serbia,2024-08-31,28,11,28,0,NA
2010,/events/details/2010/,Shemasters,2024,Germany,2024-03-09,12,1,12,0,NA
1652,/events/details/1652/,Sho,2021,United States,2021-09-26,10,0,10,0,NA
62,/events/details/62/,Shortpoint,2014,United States,2014-02-22,8,0,8,0,NA
105,/events/details/105/,Siberian Cup,2017,Russia,2017-01-21,30,0,30,0,NA
1607,/events/details/1607/,Siberian Cup,2020,Russia,2020-02-22,34,0,30,4,0.88
2063,/events/details/2063/,Sidesword Comp,2024,Australia,2024-04-06,21,0,21,0,NA
1284,/events/details/1284/,Sidesword Open,2018,Australia,2018-06-03,12,0,12,0,NA
1415,/events/details/1415/,Silicon Valley Sword Fight,2018,United States,2018-01-27,9,0,9,0,NA
151,/events/details/151/,Simply Synthetic,2017,Ireland,2017-08-05,17,0,17,0,NA
2045,/events/details/2045/,Singlestick Showdown,2024,Canada,2024-05-05,18,0,18,0,NA
1311,/events/details/1311/,Skunks,2012,Poland,2012-05-20,16,4,16,0,NA
1987,/events/details/1987/,Slms,2023,Austria,2023-10-28,36,8,36,0,NA
28,/events/details/28/,Socal Swordfight,2015,United States,2015-11-06,105,5,105,0,NA
79,/events/details/79/,Socal Swordfight,2017,United States,2017-02-17,76,8,45,31,0.59
1232,/events/details/1232/,Socal Swordfight,2018,United States,2018-02-16,83,8,42,41,0.51
1416,/events/details/1416/,Socal Swordfight,2019,United States,2019-02-15,147,8,97,50,0.66
1604,/events/details/1604/,Socal Swordfight,2020,United States,2020-02-14,179,9,87,92,0.49
1681,/events/details/1681/,Socal Swordfight,2022,United States,2022-02-18,148,6,79,69,0.53
1797,/events/details/1797/,Socal Swordfight,2023,United States,2023-02-17,306,20,210,96,0.69
1995,/events/details/1995/,Socal Swordfight,2024,United States,2024-02-23,316,14,161,155,0.51
1750,/events/details/1750/,Sofia Crossswords,2022,Bulgaria,2022-10-29,36,23,36,0,NA
1926,/events/details/1926/,Sofia Crossswords,2023,Bulgaria,2023-11-04,57,30,36,21,0.63
1972,/events/details/1972/,Sonata Di Spada,2023,Germany,2023-12-02,10,1,10,0,NA
1866,/events/details/1866/,South East Arc Fencing Open,2023,United States,2023-03-25,29,0,29,0,NA
2121,/events/details/2121/,Spada Di Bolognese Open Sidesword Comp 2024 Round,2024,Australia,2024-07-11,6,0,6,0,NA
2012,/events/details/2012/,Spada Di Bolognese Sidesword Comp March,2024,Australia,2024-03-07,10,0,10,0,NA
1756,/events/details/1756/,Spooky Scary Messer Showdown,2022,Canada,2022-10-30,36,4,36,0,NA
2014,/events/details/2014/,Spring Comet Crush,2024,United States,2024-01-25,22,0,22,0,NA
1838,/events/details/1838/,Spring Fechten,2023,United States,2023-05-20,43,1,43,0,NA
1715,/events/details/1715/,Spring Fling,2022,United States,2022-04-16,20,1,20,0,NA
1391,/events/details/1391/,Spring Golden Forests Championship,2018,Russia,2018-03-31,59,0,59,0,NA
1688,/events/details/1688/,Spring Hema Female Tournament:,2021,Ukraine,2021-03-28,12,11,12,0,NA
1397,/events/details/1397/,Spring Open Duel Fencing Championship Of The Ural Federal District,2018,Russia,2018-04-07,88,0,88,0,NA
