event_id,event_brand,event_year,event_name,event_date,event_country,event_city,event_url
1830,Unicorn Fight Club,2023,Unicorn Fight Club 2023,2023-06-03,New Zealand,Christchurch,/events/details/1830/
1827,Albion Cup,2023,Albion Cup 2023,2023-06-03,United Kingdom,Marlow,/events/details/1827/
1820,Holmgang,2023,Holmgang 2023,2023-06-03,Sweden,Stockholm,/events/details/1820/
1831,Battle Born Iii,2023,Battle Born Iii 2023,2023-05-27,United States of America,Nevada,/events/details/1831/
1832,Krvise,2023,Krvise 2023,2023-05-27,Hungary,Budapest,/events/details/1832/
1814,Bratislava En Garde!,2023,Bratislava En Garde! 2023,2023-05-27,Slovakia,Bratislava,/events/details/1814/
1843,Ahma Cub,2023,Ahma Cub 2023,2023-05-20,Finland,Jyvaskyla,/events/details/1843/
1838,Spring Fechten,2023,Spring Fechten 2023,2023-05-20,United States of America,Oklahoma,/events/details/1838/
1933,Nederlandse Hema Kampioenschappen 2023: Evenement:,2023,Nederlandse Hema Kampioenschappen 2023: Evenement: 1,2023-05-20,Netherlands,Utrecht,/events/details/1933/
2016,Assoluti,2023,Assoluti,2023-05-20,Italy,Chianciano Terme,/events/details/2016/
1824,Jostuv Pohar,2023,Jostuv Pohar 2023,2023-05-20,Czechia,Brno,/events/details/1824/
1994,Ontreal Sword Meisters,2023,Montreal Sword Meisters 2023,2023-05-19,Canada,Montreal,/events/details/1994/
1893,Steel Jam I Spring Bash,2023,Steel Jam I Spring Bash 2023,2023-05-13,United States of America,Florida,/events/details/1893/
1853,Iluro Pugnare,2023,Iluro Pugnare 2023,2023-05-13,Spain,Mataro,/events/details/1853/
1880,Trofeo Turoqua,2023,Trofeo Turoqua 2023,2023-05-13,Spain,Pontevedra,/events/details/1880/
1811,Intermezzo,2023,Intermezzo 2023,2023-05-13,Serbia,Belgrade,/events/details/1811/
1813,Brunner Stich,2023,Brunner Stich 2023,2023-05-13,Czechia,Na,/events/details/1813/
1848,Swordstrong Kc,2023,Swordstrong Kc 2023,2023-05-06,United States of America,Missouri,/events/details/1848/
1836,Ork,2023,Cork 2023,2023-05-06,Ireland,Cork,/events/details/1836/
1826,Zilinsky Punk I.,2023,Zilinsky Punk I. 2023,2023-05-06,Slovakia,Zilina,/events/details/1826/
1845,Ag Open,2023,Ag Open 2023,2023-05-05,United States of America,Michigan,/events/details/1845/
1961,Arnold South America,2023,Arnold South America 2023,2023-05-03,Brazil,Sao Paulo,/events/details/1961/
1918,Swordwork Smallsword Tournament,2023,Swordwork Smallsword Tournament,2023-04-26,Australia,Queensland,/events/details/1918/
1839,Aegis Spring Tournament,2023,Aegis Spring Tournament 2023,2023-04-23,United States of America,Texas,/events/details/1839/
1881,Sydney Super Series,2023,Sydney Super Series 2023,2023-04-23,Australia,Sydney,/events/details/1881/
1863,Green Chapel Tourney,2023,Green Chapel Tourney 2023,2023-04-22,United States of America,Nebraska,/events/details/1863/
1833,Wine Country Sword Crush,2023,Wine Country Sword Crush 2023,2023-04-22,United States of America,California,/events/details/1833/
1873,Wasaslaget,2023,Wasaslaget 2023,2023-04-22,Sweden,Uppsala,/events/details/1873/
2054,Qualificazioni Asc Sud,2023,Qualificazioni Asc Sud 2023,2023-04-22,Italy,Cave,/events/details/2054/
1816,Alberio Kalavijas,2023,Alberio Kalavijas 2023,2023-04-22,Lithuania,Vilnius,/events/details/1816/
